 teff  logg feh u1 u2
18000  3.50 -5.00  0.1276  0.2647
19000  3.50 -5.00  0.1216  0.2647
20000  3.50 -5.00  0.1165  0.2647
21000  3.50 -5.00  0.1121  0.2654
22000  3.50 -5.00  0.1081  0.2677
23000  3.50 -5.00  0.1046  0.2710
24000  3.50 -5.00  0.1009  0.2759
25000  3.50 -5.00  0.0969  0.2822
26000  3.50 -5.00  0.0938  0.2884
27000  3.50 -5.00  0.0899  0.2950
28000  3.50 -5.00  0.0832  0.3017
29000  3.50 -5.00  0.0747  0.3066
30000  3.50 -5.00  0.0676  0.3089
31000  3.50 -5.00  0.0572  0.3161
 4250  4.00 -5.00  0.0245  0.4189
 4500  4.00 -5.00  0.0644  0.4356
 4750  4.00 -5.00  0.1452  0.4216
 5000  4.00 -5.00  0.2212  0.3807
 5250  4.00 -5.00  0.2445  0.3680
 5500  4.00 -5.00  0.2515  0.3590
 5750  4.00 -5.00  0.2654  0.3438
 6000  4.00 -5.00  0.2761  0.3300
 6250  4.00 -5.00  0.2763  0.3239
 6500  4.00 -5.00  0.2759  0.3182
 6750  4.00 -5.00  0.2702  0.3175
 7000  4.00 -5.00  0.2607  0.3205
 7250  4.00 -5.00  0.2478  0.3263
 7500  4.00 -5.00  0.2432  0.3279
 7750  4.00 -5.00  0.3784  0.2120
 8000  4.00 -5.00  0.3509  0.2345
 8500  4.00 -5.00  0.3028  0.2594
 8750  4.00 -5.00  0.2788  0.2713
 9000  4.00 -5.00  0.2557  0.2824
 9500  4.00 -5.00  0.2234  0.2919
 9750  4.00 -5.00  0.2124  0.2932
10000  4.00 -5.00  0.2036  0.2937
10500  4.00 -5.00  0.1913  0.2911
11000  4.00 -5.00  0.1812  0.2888
11500  4.00 -5.00  0.1731  0.2860
12000  4.00 -5.00  0.1673  0.2819
12500  4.00 -5.00  0.1619  0.2787
13000  4.00 -5.00  0.1577  0.2749
14000  4.00 -5.00  0.1509  0.2676
15000  4.00 -5.00  0.1441  0.2622
16000  4.00 -5.00  0.1388  0.2571
17000  4.00 -5.00  0.1334  0.2536
18000  4.00 -5.00  0.1272  0.2518
19000  4.00 -5.00  0.1208  0.2507
20000  4.00 -5.00  0.1157  0.2487
21000  4.00 -5.00  0.1108  0.2472
22000  4.00 -5.00  0.1065  0.2465
23000  4.00 -5.00  0.1020  0.2477
24000  4.00 -5.00  0.0980  0.2497
25000  4.00 -5.00  0.0934  0.2535
26000  4.00 -5.00  0.0895  0.2573
27000  4.00 -5.00  0.0846  0.2625
28000  4.00 -5.00  0.0800  0.2666
29000  4.00 -5.00  0.0738  0.2705
30000  4.00 -5.00  0.0690  0.2704
31000  4.00 -5.00  0.0640  0.2685
32000  4.00 -5.00  0.0566  0.2687
33000  4.00 -5.00  0.0488  0.2699
34000  4.00 -5.00  0.0396  0.2723
35000  4.00 -5.00  0.0297  0.2742
 4750  4.50 -5.00  0.0853  0.4272
 5000  4.50 -5.00  0.1691  0.4039
 5250  4.50 -5.00  0.2092  0.3853
 5500  4.50 -5.00  0.2263  0.3725
 5750  4.50 -5.00  0.2401  0.3616
 6000  4.50 -5.00  0.2573  0.3436
 6250  4.50 -5.00  0.2583  0.3378
 6500  4.50 -5.00  0.2657  0.3261
 6750  4.50 -5.00  0.2652  0.3210
 7000  4.50 -5.00  0.2596  0.3207
 7250  4.50 -5.00  0.2498  0.3242
 7500  4.50 -5.00  0.2384  0.3296
 7750  4.50 -5.00  0.2250  0.3369
 8000  4.50 -5.00  0.3517  0.2297
 8500  4.50 -5.00  0.3038  0.2631
 8750  4.50 -5.00  0.2827  0.2703
 9000  4.50 -5.00  0.2693  0.2704
 9500  4.50 -5.00  0.2307  0.2871
 9750  4.50 -5.00  0.2167  0.2911
10000  4.50 -5.00  0.2065  0.2923
10500  4.50 -5.00  0.1902  0.2931
11000  4.50 -5.00  0.1794  0.2909
11500  4.50 -5.00  0.1717  0.2872
12000  4.50 -5.00  0.1649  0.2836
12500  4.50 -5.00  0.1595  0.2796
13000  4.50 -5.00  0.1551  0.2755
14000  4.50 -5.00  0.1461  0.2692
15000  4.50 -5.00  0.1390  0.2631
16000  4.50 -5.00  0.1338  0.2567
17000  4.50 -5.00  0.1286  0.2519
18000  4.50 -5.00  0.1237  0.2479
19000  4.50 -5.00  0.1189  0.2445
20000  4.50 -5.00  0.1142  0.2414
21000  4.50 -5.00  0.1100  0.2383
22000  4.50 -5.00  0.1064  0.2351
23000  4.50 -5.00  0.1023  0.2337
24000  4.50 -5.00  0.0981  0.2340
25000  4.50 -5.00  0.0936  0.2357
26000  4.50 -5.00  0.0893  0.2381
27000  4.50 -5.00  0.0841  0.2419
28000  4.50 -5.00  0.0800  0.2444
29000  4.50 -5.00  0.0747  0.2470
30000  4.50 -5.00  0.0707  0.2465
31000  4.50 -5.00  0.0666  0.2440
32000  4.50 -5.00  0.0638  0.2384
33000  4.50 -5.00  0.0583  0.2351
34000  4.50 -5.00  0.0547  0.2303
35000  4.50 -5.00  0.0463  0.2297
37500  4.50 -5.00  0.0276  0.2222
40000  4.50 -5.00  0.0196  0.2126
 5000  5.00 -5.00  0.1326  0.4028
 5250  5.00 -5.00  0.1520  0.4119
 5500  5.00 -5.00  0.1885  0.3948
 5750  5.00 -5.00  0.2095  0.3815
 6000  5.00 -5.00  0.2308  0.3624
 6250  5.00 -5.00  0.2443  0.3474
 6500  5.00 -5.00  0.2490  0.3382
 6750  5.00 -5.00  0.2532  0.3299
 7000  5.00 -5.00  0.2513  0.3263
 7250  5.00 -5.00  0.2456  0.3264
 7500  5.00 -5.00  0.2354  0.3306
 7750  5.00 -5.00  0.2239  0.3361
 8000  5.00 -5.00  0.2094  0.3436
 8500  5.00 -5.00  0.3023  0.2632
 8750  5.00 -5.00  0.2804  0.2767
 9000  5.00 -5.00  0.2813  0.2577
 9500  5.00 -5.00  0.2393  0.2801
 9750  5.00 -5.00  0.2228  0.2868
10000  5.00 -5.00  0.2103  0.2900
10500  5.00 -5.00  0.1923  0.2920
11000  5.00 -5.00  0.1791  0.2921
11500  5.00 -5.00  0.1703  0.2891
12000  5.00 -5.00  0.1631  0.2857
12500  5.00 -5.00  0.1578  0.2814
13000  5.00 -5.00  0.1524  0.2778
14000  5.00 -5.00  0.1440  0.2702
15000  5.00 -5.00  0.1375  0.2628
16000  5.00 -5.00  0.1320  0.2561
17000  5.00 -5.00  0.1263  0.2511
18000  5.00 -5.00  0.1219  0.2460
19000  5.00 -5.00  0.1168  0.2424
20000  5.00 -5.00  0.1121  0.2391
21000  5.00 -5.00  0.1071  0.2363
22000  5.00 -5.00  0.1029  0.2332
23000  5.00 -5.00  0.0988  0.2307
24000  5.00 -5.00  0.0949  0.2293
25000  5.00 -5.00  0.0910  0.2291
26000  5.00 -5.00  0.0869  0.2301
27000  5.00 -5.00  0.0840  0.2306
28000  5.00 -5.00  0.0796  0.2324
29000  5.00 -5.00  0.0773  0.2316
30000  5.00 -5.00  0.0732  0.2310
31000  5.00 -5.00  0.0699  0.2279
32000  5.00 -5.00  0.0658  0.2235
33000  5.00 -5.00  0.0647  0.2153
34000  5.00 -5.00  0.0604  0.2100
35000  5.00 -5.00  0.0568  0.2040
37500  5.00 -5.00  0.0423  0.1911
40000  5.00 -5.00  0.0314  0.1763
42500  5.00 -5.00  0.0263  0.1681
45000  5.00 -5.00  0.0245  0.1655
47500  5.00 -5.00  0.0233  0.1659
50000  5.00 -5.00  0.0222  0.1680
 3500  0.00 -4.50  0.6014  0.0408
 3750  0.00 -4.50  0.5818  0.0601
 4000  0.00 -4.50  0.5739  0.0684
 4250  0.00 -4.50  0.5585  0.0848
 4500  0.00 -4.50  0.5363  0.1074
 4750  0.00 -4.50  0.5067  0.1356
 5000  0.00 -4.50  0.4767  0.1620
 5250  0.00 -4.50  0.4465  0.1867
 5500  0.00 -4.50  0.4090  0.2171
 5750  0.00 -4.50  0.5611  0.0827
 6000  0.00 -4.50  0.5439  0.0976
 3500  0.50 -4.50  0.5443  0.0966
 3750  0.50 -4.50  0.5391  0.1034
 4000  0.50 -4.50  0.5157  0.1256
 4250  0.50 -4.50  0.5053  0.1364
 4500  0.50 -4.50  0.4881  0.1537
 4750  0.50 -4.50  0.4679  0.1721
 5000  0.50 -4.50  0.4476  0.1894
 5250  0.50 -4.50  0.4286  0.2032
 5500  0.50 -4.50  0.4010  0.2243
 5750  0.50 -4.50  0.3764  0.2465
 6000  0.50 -4.50  0.5444  0.0964
 6250  0.50 -4.50  0.5248  0.1142
 6500  0.50 -4.50  0.5053  0.1321
 6750  0.50 -4.50  0.4805  0.1562
 7000  0.50 -4.50  0.4454  0.1891
 3500  1.00 -4.50  0.4265  0.2073
 3750  1.00 -4.50  0.4739  0.1641
 4000  1.00 -4.50  0.4491  0.1905
 4250  1.00 -4.50  0.4390  0.2008
 4500  1.00 -4.50  0.4313  0.2082
 4750  1.00 -4.50  0.4228  0.2150
 5000  1.00 -4.50  0.4129  0.2217
 5250  1.00 -4.50  0.4039  0.2263
 5500  1.00 -4.50  0.3866  0.2379
 5750  1.00 -4.50  0.3620  0.2557
 6000  1.00 -4.50  0.3492  0.2695
 6250  1.00 -4.50  0.5250  0.1117
 6500  1.00 -4.50  0.5032  0.1316
 6750  1.00 -4.50  0.4804  0.1521
 7000  1.00 -4.50  0.4495  0.1805
 7250  1.00 -4.50  0.4119  0.2134
 7500  1.00 -4.50  0.3757  0.2411
 3500  1.50 -4.50  0.3264  0.3012
 3750  1.50 -4.50  0.3421  0.2794
 4000  1.50 -4.50  0.3813  0.2539
 4250  1.50 -4.50  0.3746  0.2610
 4500  1.50 -4.50  0.3682  0.2679
 4750  1.50 -4.50  0.3739  0.2619
 5000  1.50 -4.50  0.3740  0.2587
 5250  1.50 -4.50  0.3711  0.2570
 5500  1.50 -4.50  0.3638  0.2595
 5750  1.50 -4.50  0.3517  0.2657
 6000  1.50 -4.50  0.3335  0.2776
 6250  1.50 -4.50  0.3429  0.2645
 6500  1.50 -4.50  0.5031  0.1276
 6750  1.50 -4.50  0.4791  0.1492
 7000  1.50 -4.50  0.4520  0.1729
 7250  1.50 -4.50  0.4193  0.2010
 7500  1.50 -4.50  0.3791  0.2341
 7750  1.50 -4.50  0.3432  0.2594
 8000  1.50 -4.50  0.3151  0.2751
 8500  1.50 -4.50  0.2809  0.2847
 9000  1.50 -4.50  0.2696  0.2804
 3500  2.00 -4.50  0.2719  0.3477
 3750  2.00 -4.50  0.1963  0.3982
 4000  2.00 -4.50  0.2926  0.3148
 4250  2.00 -4.50  0.3135  0.3152
 4500  2.00 -4.50  0.3128  0.3190
 4750  2.00 -4.50  0.3216  0.3110
 5000  2.00 -4.50  0.3333  0.2973
 5250  2.00 -4.50  0.3396  0.2878
 5500  2.00 -4.50  0.3400  0.2822
 5750  2.00 -4.50  0.3359  0.2809
 6000  2.00 -4.50  0.3245  0.2861
 6250  2.00 -4.50  0.3118  0.2928
 6500  2.00 -4.50  0.3163  0.2828
 6750  2.00 -4.50  0.4797  0.1434
 7000  2.00 -4.50  0.4517  0.1687
 7250  2.00 -4.50  0.4232  0.1922
 7500  2.00 -4.50  0.3891  0.2194
 7750  2.00 -4.50  0.3496  0.2498
 8000  2.00 -4.50  0.3157  0.2720
 8500  2.00 -4.50  0.2732  0.2880
 8750  2.00 -4.50  0.2586  0.2907
 9000  2.00 -4.50  0.2496  0.2903
 9500  2.00 -4.50  0.2373  0.2892
 9750  2.00 -4.50  0.2331  0.2886
10000  2.00 -4.50  0.2296  0.2882
10500  2.00 -4.50  0.2222  0.2892
14000  2.00 -4.50  0.1999  0.3000
 3500  2.50 -4.50  0.2539  0.3659
 3750  2.50 -4.50  0.1173  0.4550
 4000  2.50 -4.50  0.1558  0.4075
 4250  2.50 -4.50  0.2662  0.3353
 4500  2.50 -4.50  0.2674  0.3555
 4750  2.50 -4.50  0.2807  0.3467
 5000  2.50 -4.50  0.2966  0.3315
 5250  2.50 -4.50  0.3095  0.3156
 5500  2.50 -4.50  0.3153  0.3058
 5750  2.50 -4.50  0.3159  0.3003
 6000  2.50 -4.50  0.3111  0.2985
 6250  2.50 -4.50  0.3073  0.2965
 6500  2.50 -4.50  0.2904  0.3054
 6750  2.50 -4.50  0.2945  0.2956
 7000  2.50 -4.50  0.4544  0.1606
 7250  2.50 -4.50  0.4261  0.1860
 7500  2.50 -4.50  0.3966  0.2087
 7750  2.50 -4.50  0.3638  0.2323
 8000  2.50 -4.50  0.3262  0.2595
 8500  2.50 -4.50  0.2713  0.2879
 8750  2.50 -4.50  0.2537  0.2925
 9000  2.50 -4.50  0.2427  0.2921
 9500  2.50 -4.50  0.2266  0.2907
 9750  2.50 -4.50  0.2205  0.2902
10000  2.50 -4.50  0.2156  0.2894
10500  2.50 -4.50  0.2058  0.2894
11000  2.50 -4.50  0.1985  0.2887
11500  2.50 -4.50  0.1921  0.2885
12000  2.50 -4.50  0.1862  0.2888
12500  2.50 -4.50  0.1820  0.2884
13000  2.50 -4.50  0.1775  0.2889
14000  2.50 -4.50  0.1696  0.2913
15000  2.50 -4.50  0.1634  0.2943
16000  2.50 -4.50  0.1582  0.2983
17000  2.50 -4.50  0.1551  0.3017
18000  2.50 -4.50  0.1538  0.3054
19000  2.50 -4.50  0.1555  0.3090
 3750  3.00 -4.50  0.0936  0.4745
 4000  3.00 -4.50  0.0629  0.4604
 4250  3.00 -4.50  0.1699  0.3846
 4500  3.00 -4.50  0.2191  0.3852
 4750  3.00 -4.50  0.2472  0.3720
 5000  3.00 -4.50  0.2644  0.3588
 5250  3.00 -4.50  0.2822  0.3405
 5500  3.00 -4.50  0.2919  0.3267
 5750  3.00 -4.50  0.3004  0.3147
 6000  3.00 -4.50  0.3000  0.3090
 6250  3.00 -4.50  0.2998  0.3030
 6500  3.00 -4.50  0.2888  0.3069
 6750  3.00 -4.50  0.2750  0.3135
 7000  3.00 -4.50  0.2716  0.3108
 7250  3.00 -4.50  0.4293  0.1777
 7500  3.00 -4.50  0.4003  0.2030
 7750  3.00 -4.50  0.3714  0.2237
 8000  3.00 -4.50  0.3402  0.2439
 8500  3.00 -4.50  0.2788  0.2810
 8750  3.00 -4.50  0.2567  0.2894
 9000  3.00 -4.50  0.2407  0.2931
 9500  3.00 -4.50  0.2204  0.2930
 9750  3.00 -4.50  0.2146  0.2908
10000  3.00 -4.50  0.2091  0.2892
10500  3.00 -4.50  0.1988  0.2877
11000  3.00 -4.50  0.1909  0.2857
11500  3.00 -4.50  0.1837  0.2843
12000  3.00 -4.50  0.1771  0.2833
12500  3.00 -4.50  0.1717  0.2820
